Code;Libelle;Dcaissement;Engagement;Budget
1;APPUI A LA MISE EN ?UVRE DE LA SNFAR;1428768155,94;1428768155,94;2307406002,00
  11;  Appui institutionnel pour la mise en ?uvre de la SNFAR;97256584,50;97256584,50;511063002,00
   111;   Appui … l'op‚rationnalisation du dispositif institutionnel d;15859111,00;15859111,00;98600000,00
   112;   Appui au fonctionnement du CNFAR;50042373,50;50042373,50;232200000,00
   113;   Appui … la rationalisation du travail du SE/CNFAR et au r‚se;31355100,00;31355100,00;180263002,00
  12;  Am‚lioration, animation et r‚gulation des dispositifs de FAR;224198061,59;224198061,59;640980000,00
   121;   Renforcement du capital humain dans le dispositif de mise en;118513377,30;118513377,30;139300000,00
   122;   Rationalisation strat‚gies et outils de formation des ‚tabli;105684684,29;105684684,29;501680000,00
  13;  Appui aux systŠmes de financement durables de la FAR;;;15000000,00
   131;   Analyse et mise en place de m‚canismes p‚rennes de financeme;;;15000000,00
  14;  Pilotage et S&E, gestion des savoirs et communication;1107313509,85;1107313509,85;1140363000,00
   141;   Unit‚ de pilotage/liaison et ‚quipes r‚gionales de programme;1043247850,85;1043247850,85;909263000,00
   142;   Suivi-‚valuation;26321527,00;26321527,00;169700000,00
   143;   Informations, Communication, Gestion de partenariats et des ;37744132,00;37744132,00;61400000,00
3;AMELIORATION DE LA PRODUCTIVITE DANS LES POLES DE DEVELOPPEM;6000000,00;6000000,00;790000000,00
  31;  Formation continue des EAF et appui … l'Am‚lioration de la p;6000000,00;6000000,00;790000000,00
   313;   D‚veloppement de services d'appui agricole;6000000,00;6000000,00;790000000,00
;Total;1 434 768 155,94;1 434 768 155,94;3 097 406 002,00
