Code ;Indicateurs;Valeur_A_importer
PR141: L?UL et les EPR sont mises en place et op‚rationnelles ;;
PR141.1;% occupation poste … pourvoir selon organigramme;
PR141.2a;Cadres et personnel d'appui du Programme FORMAPROD renforc‚s en capacit‚;4
PR141.2b;Dont femme;3
PR141.3;R‚unions de coordination UL r‚alis‚es;
PR141.4;R‚unions de coordination EPR r‚alis‚es;1
PR141.5;PTBA ‚labor‚s et remis dans le d‚lai au FIDA;1
PR142 : Le systŠme de suivi-‚valuation et de pilotage du programme est mis en place et op‚rationnelles;;
PR142.1;Taux de r‚alisation physique du PTBA;75
PR142.2;Taux de d‚caissement du PTBA;75
PR142.3;Situation de r‚f‚rence disponible;
PR142.4;Enquˆtes d'‚valuation et d'impact r‚alis‚es;1
PR142.5;Rapports p‚riodiques ‚labor‚s et remis … temps au FIDA;2
PR142.6;Evaluation participative  de planification r‚alis‚e;2
PR142.7;Base de donn‚es S&E disponible et mise … jour;
PR143 : La gestion des savoirs et la communication aussi bien de la FAR que du programme sont effectives;;
PR143.1;Taux d'ex‚cution du plan de communication FAR;
PR143.2;Visiteurs de la page Web FAR;
PR143.3;Th‚matiques FAR diffus‚s;
PR143.4;Taux d'ex‚cution du plan de communication FORMAPROD;
PR143.5;Visiteurs de la page Web FORMAPROD;
PR143.6;Th‚matiques FORMAPROD diffus‚s;
PR143.7;Bonnes pratiques capitalis‚es ;
PR143.8;Innovations mises … l'‚chelle;
;;
;;
PR211: Les acteurs r‚gionaux sont inform‚s sur la FAR, la SNFAR et sa mise en ?uvre;;
PR211.1;Taux d'ex‚cution du plan r‚gional de communication de la FAR ;50%
PR212 : La Maitrise d?ouvrage de la FAR au niveau r‚gional est appuy‚e;;
PR212.1;CRFAR cr‚‚s et op‚rationnels;1
PR212.2a;Acteurs r‚gionaux renforc‚s en capacit‚ (CRFAR, DRDR, STD, TTR, CSA/GUMS, R‚seaux r‚gionaux, autres?);100
PR212.2b;Dont femme;34
PR212.3;Sch‚ma r‚gional FAR ‚labor‚ et diffus‚;1
PR213 : Le plan d?am‚lioration de la qualit‚ de la FAR au niveau r‚gional est mis en ?uvre;;
PR213.1;"CEFAR adoptant la d‚marche ""qualit‚ de la FAR""";0
Produit 2.1.4 : Le guichet FAR est op‚rationnel au niveau r‚gional;;
PR214.1;Taux de d‚caisssement du montant abond‚;100
;;
